X Y
6 171
6 116
6 118
6 121
6 119
6 121
6 120
6 118
6 111
9 112
9 114
9 105
9 115
9 112
9 116
9 114
9 112
9 112
5 110
5 105
5 117
5 116
5 114
5 112
5 114
5 112
5 105
6 110
6 112
6 114
6 121
6 113
6 112
6 111
6 105
6 111
2 77
2 54
2 57
2 58
2 52
2 55
2 51
2 55
2 52
1 53
1 55
1 53
1 66
1 52
1 62
1 52
1 54
1 54
4 54
4 53
4 54
4 59
4 54
4 51
4 57
4 57
4 52
94 4982
94 2120
94 1768
94 1690
94 1659
94 1620
94 1633
94 1690
94 1691
12 1614
12 1559
12 1566
12 1554
12 1559
12 1565
12 1599
12 1573
12 1562
6 1544
6 1547
6 1546
6 1543
6 1559
6 1554
6 1552
6 1564
6 1557
120 1584
120 1577
120 1582
120 1572
120 1588
120 1589
120 1583
120 1590
120 1594
18 1554
18 1557
18 1541
18 1561
18 1568
18 1563
18 1549
18 1553
18 1545
82 1572
82 1565
82 1572
82 1574
82 1563
82 1564
82 1569
82 1569
82 1562
10 319
10 223
10 241
10 204
10 214
10 215
10 218
10 223
10 211
1 240
1 200
1 202
1 209
1 200
1 204
1 201
1 199
1 207
3 201
3 203
3 202
3 206
3 202
3 207
3 204
3 202
3 206
16 206
16 204
16 208
16 211
16 204
16 204
16 204
16 205
16 210
1 203
1 201
1 202
1 204
1 209
1 212
1 202
1 201
1 206
5 204
5 208
5 205
5 202
5 241
5 203
5 207
5 200
5 203
4 71
4 69
4 71
4 74
4 72
4 68
4 66
4 62
4 63
2 62
2 62
2 67
2 66
2 64
2 65
2 61
2 64
2 63
13 445
13 298
13 294
13 282
13 280
13 286
13 313
13 282
13 283
29 285
29 285
29 290
29 297
29 285
29 282
29 320
29 291
29 287
5 277
5 288
5 279
5 280
5 280
5 284
5 277
5 276
5 276
10 286
10 288
10 277
10 279
10 285
10 335
10 307
10 285
10 283
8 266
8 195
8 196
8 196
8 214
8 202
8 206
8 193
8 197
1 205
1 194
1 193
1 229
1 191
1 194
1 203
1 200
1 198
17 196
17 213
17 197
17 191
17 203
17 188
17 192
17 200
17 216
4 199
4 201
4 190
4 192
4 214
4 195
4 190
4 191
4 213
10 193
10 201
10 201
10 194
10 222
10 216
10 208
10 204
10 209
2 2447
2 2432
2 2397
2 2395
2 2394
2 2394
2 2399
2 2401
2 2393
216 3142
216 3105
216 3107
216 3099
216 3082
216 3138
216 3090
216 3087
216 3089
209 4690
209 3277
209 3025
209 3003
209 2981
209 3001
209 2989
209 2984
209 2992
7 3134
7 3222
7 3176
7 3146
7 3170
7 3080
7 3042
7 3037
7 3046
766 3164
766 3174
766 3159
766 3296
766 3180
766 3340
766 3566
766 3247
766 3150
144 3082
144 3071
144 3058
144 3060
144 3054
144 3073
144 3051
144 3140
144 3069
473 177
473 103
473 115
473 107
473 102
473 103
473 115
473 110
473 108
203 170
203 51
203 51
203 55
203 51
203 53
203 53
203 54
203 54
6469 4963
6469 2443
6469 1891
6469 1578
6469 1502
6469 1940
6469 1753
6469 1754
6469 1873
976 304
976 294
976 222
976 205
976 196
976 261
976 221
976 201
976 264
300 88
300 64
300 65
300 63
300 63
300 61
300 65
300 67
300 61
1354 479
1354 402
1354 293
1354 389
1354 293
1354 391
1354 396
1354 308
1354 475
917 245
917 230
917 205
917 176
917 174
917 219
917 199
917 203
917 214
